layer_uid,spearman,p
Embedding-3-1,0.049913772516421366,1.852577445445011e-12
GELU-2-3,0.03610073684074433,3.506310418810013e-07
Gemma2DecoderLayer-4-1,0.06636430908887658,7.145355541151937e-21
Gemma2DecoderLayer-4-10,0.0686817120636433,3.0270166897919535e-22
Gemma2DecoderLayer-4-11,0.06734137136117814,1.9090360404492085e-21
Gemma2DecoderLayer-4-12,0.07103325247003917,1.0968316583767887e-23
Gemma2DecoderLayer-4-13,0.06182558624436134,2.5608263594607455e-18
Gemma2DecoderLayer-4-14,0.07240735446674372,1.499453172805766e-24
Gemma2DecoderLayer-4-15,0.06421496442991348,1.2186247358059585e-19
Gemma2DecoderLayer-4-16,0.06783140441269843,9.777141835627244e-22
Gemma2DecoderLayer-4-17,0.08736637633955692,5.032111860165119e-35
Gemma2DecoderLayer-4-18,0.0827411512627239,1.4105412197729771e-31
Gemma2DecoderLayer-4-19,0.09976530300980765,3.3929385983454754e-45
Gemma2DecoderLayer-4-2,0.0680828233319743,6.923180798097305e-22
Gemma2DecoderLayer-4-20,0.10344152074818876,1.792896125351338e-48
Gemma2DecoderLayer-4-21,0.10567687448650455,1.5931400917239113e-50
Gemma2DecoderLayer-4-22,0.12496228234089246,4.470273693159968e-70
Gemma2DecoderLayer-4-23,0.12564553078131663,7.876634201458894e-71
Gemma2DecoderLayer-4-24,0.10755122368637153,2.8051928655010316e-52
Gemma2DecoderLayer-4-25,0.09170708469615318,1.9733769291878086e-38
Gemma2DecoderLayer-4-26,0.09751197053624858,3.019955526248363e-43
Gemma2DecoderLayer-4-3,0.07469521103664176,5.018681467025663e-26
Gemma2DecoderLayer-4-4,0.07056508095989616,2.1420788730778138e-23
Gemma2DecoderLayer-4-5,0.08166574734032943,8.39685447289304e-31
Gemma2DecoderLayer-4-6,0.07638834760871385,3.796590281628933e-27
Gemma2DecoderLayer-4-7,0.07603375738231781,6.55047606587533e-27
Gemma2DecoderLayer-4-8,0.08616313577902916,4.137244505093765e-34
Gemma2DecoderLayer-4-9,0.07068272322384489,1.811209158890579e-23
Gemma2ForCausalLM-1-11,0.0963707165055876,2.819617766744423e-42
Gemma2RMSNorm-3-4,0.09827606041115072,6.668087873360982e-44
Gemma2RMSNorm-5-1,0.05408243455101766,2.2691981371923786e-14
Gemma2RMSNorm-5-10,0.11145946120622126,4.890125158188538e-56
Gemma2RMSNorm-5-100,0.15209741605957533,2.751132594110742e-103
Gemma2RMSNorm-5-102,0.12578344085292426,5.541656421376842e-71
Gemma2RMSNorm-5-103,0.1351977114979988,8.172641362987853e-82
Gemma2RMSNorm-5-105,0.10585092234965468,1.0981755690288257e-50
Gemma2RMSNorm-5-106,0.1451596646344985,3.7312943641904176e-94
Gemma2RMSNorm-5-108,0.10919680665147019,7.620419516340304e-54
Gemma2RMSNorm-5-109,0.13040897585576117,3.329228566644867e-76
Gemma2RMSNorm-5-111,0.13290070769982956,4.258935752039192e-79
Gemma2RMSNorm-5-112,0.15355474533729013,2.9155659858470247e-105
Gemma2RMSNorm-5-114,0.1338810241597821,2.98975803429106e-80
Gemma2RMSNorm-5-115,0.14263065737826247,6.176342884174152e-91
Gemma2RMSNorm-5-117,0.10293928041016076,5.108955657060872e-48
Gemma2RMSNorm-5-118,0.1569385494969129,6.361060672470284e-110
Gemma2RMSNorm-5-12,0.07511539561467773,2.658732524675681e-26
Gemma2RMSNorm-5-120,0.1236621777363085,1.1841701956889648e-68
Gemma2RMSNorm-5-121,0.1481371074367985,5.092175287019146e-98
Gemma2RMSNorm-5-123,0.08959396167294713,9.424917966089011e-37
Gemma2RMSNorm-5-124,0.16685685298709169,3.3643817577396443e-124
Gemma2RMSNorm-5-126,0.11622763063617965,8.294111641278235e-61
Gemma2RMSNorm-5-127,0.14531495931073204,2.35662185715215e-94
Gemma2RMSNorm-5-129,0.1748495727897156,2.242913696687112e-136
Gemma2RMSNorm-5-13,0.08610330120689004,4.590694175785232e-34
Gemma2RMSNorm-5-130,0.18622082046162036,9.655744724026421e-155
Gemma2RMSNorm-5-132,0.11689413716542346,1.7206973839343522e-61
Gemma2RMSNorm-5-133,0.16705623639153933,1.7001044601399448e-124
Gemma2RMSNorm-5-135,0.08887289986533027,3.453276671423766e-36
Gemma2RMSNorm-5-136,0.18962422753025068,1.76861490253615e-160
Gemma2RMSNorm-5-138,0.1267702718884919,4.425415873165172e-72
Gemma2RMSNorm-5-139,0.16926525503736173,8.342102505135934e-128
Gemma2RMSNorm-5-141,0.08725225148715789,6.152878831723438e-35
Gemma2RMSNorm-5-142,0.18038238051321948,3.7016594478997706e-145
Gemma2RMSNorm-5-144,0.08400252819693381,1.6895340745422587e-32
Gemma2RMSNorm-5-145,0.16144118353896578,2.729893308870966e-116
Gemma2RMSNorm-5-147,0.11427432104110957,7.900751733508914e-59
Gemma2RMSNorm-5-148,0.1705594269370948,9.146125243238789e-130
Gemma2RMSNorm-5-15,0.07147866135729587,5.778427878665109e-24
Gemma2RMSNorm-5-150,0.0708476901290928,1.4308252805215924e-23
Gemma2RMSNorm-5-151,0.14363941298228727,3.264695514479028e-92
Gemma2RMSNorm-5-153,0.13529470575413663,6.260069725142149e-82
Gemma2RMSNorm-5-154,0.1643687018018568,1.565929686426121e-120
Gemma2RMSNorm-5-156,0.06981096584666575,6.238405851493794e-23
Gemma2RMSNorm-5-16,0.09570700529520673,1.021223064128772e-41
Gemma2RMSNorm-5-18,0.05596349270364363,2.7819340452376162e-15
Gemma2RMSNorm-5-19,0.08478252502245225,4.475964829423075e-33
Gemma2RMSNorm-5-21,0.08867170830045364,4.9518823295433603e-36
Gemma2RMSNorm-5-22,0.10128832575215932,1.5398720998824195e-46
Gemma2RMSNorm-5-24,0.035262988170261834,6.501511451367565e-07
Gemma2RMSNorm-5-25,0.08791455131704388,1.9085026207403782e-35
Gemma2RMSNorm-5-27,0.08031117473440873,7.683456743013142e-30
Gemma2RMSNorm-5-28,0.10525994052252453,3.8746277499080765e-50
Gemma2RMSNorm-5-3,0.07134530566501165,7.003624324853444e-24
Gemma2RMSNorm-5-30,0.06846839719646029,4.0676676213405323e-22
Gemma2RMSNorm-5-31,0.09610451133286305,4.7297366759585944e-42
Gemma2RMSNorm-5-33,0.08392460689368576,1.9279861554675616e-32
Gemma2RMSNorm-5-34,0.11014371474979878,9.330942187558386e-55
Gemma2RMSNorm-5-36,0.07814368919933912,2.4581163483543828e-28
Gemma2RMSNorm-5-37,0.09929489888202843,8.734745883101131e-45
Gemma2RMSNorm-5-39,0.05604134824613745,2.5466208653651004e-15
Gemma2RMSNorm-5-4,0.11484734097230459,2.092596330556257e-59
Gemma2RMSNorm-5-40,0.10047527483458477,8.073092304314618e-46
Gemma2RMSNorm-5-42,0.06259717187084397,9.69850986996392e-19
Gemma2RMSNorm-5-43,0.08909227942287377,2.3288167334196844e-36
Gemma2RMSNorm-5-45,0.13123350845333132,3.726098168443928e-77
Gemma2RMSNorm-5-46,0.12961205923361904,2.7272069474155474e-75
Gemma2RMSNorm-5-48,0.10905611455738405,1.03946421852682e-53
Gemma2RMSNorm-5-49,0.12106531826992226,7.417883077872418e-66
Gemma2RMSNorm-5-51,0.053274899983018056,5.468504740439082e-14
Gemma2RMSNorm-5-52,0.10425044755309837,3.2836929595525076e-49
Gemma2RMSNorm-5-54,0.07785766123927661,3.8560888008078693e-28
Gemma2RMSNorm-5-55,0.09785123297664368,1.5465680866739058e-43
Gemma2RMSNorm-5-57,0.05342453892295613,4.650564562868486e-14
Gemma2RMSNorm-5-58,0.10321534452437432,2.8749764559181255e-48
Gemma2RMSNorm-5-6,0.039685961120381204,2.140451443842288e-08
Gemma2RMSNorm-5-60,0.04470729790445044,2.799402938596768e-10
Gemma2RMSNorm-5-61,0.0928040643328805,2.5588634212852647e-39
Gemma2RMSNorm-5-63,0.06886302549450017,2.3530211620076613e-22
Gemma2RMSNorm-5-64,0.09782105056859627,1.6415960081405017e-43
Gemma2RMSNorm-5-66,0.046374570632209546,5.947609084685206e-11
Gemma2RMSNorm-5-67,0.09829385612154853,6.436673296280288e-44
Gemma2RMSNorm-5-69,0.07934779783123572,3.627187185469723e-29
Gemma2RMSNorm-5-7,0.0905112610243186,1.7792220327823145e-37
Gemma2RMSNorm-5-70,0.10100288265527496,2.75912543962023e-46
Gemma2RMSNorm-5-72,0.045523925760985184,1.3198450635133152e-10
Gemma2RMSNorm-5-73,0.11199360255736525,1.462279259885353e-56
Gemma2RMSNorm-5-75,0.07219452857337003,2.045781185301013e-24
Gemma2RMSNorm-5-76,0.09448082211632397,1.075194828855761e-40
Gemma2RMSNorm-5-78,0.060278383121365776,1.7315927106640725e-17
Gemma2RMSNorm-5-79,0.09926680687448991,9.240878250993581e-45
Gemma2RMSNorm-5-81,0.09938015023891404,7.361549163639921e-45
Gemma2RMSNorm-5-82,0.11349627090945048,4.746713210661785e-58
Gemma2RMSNorm-5-84,0.0733946573623441,3.5063262127766377e-25
Gemma2RMSNorm-5-85,0.1190173209698159,1.0794147955386164e-63
Gemma2RMSNorm-5-87,0.06612456888177028,9.849346904296217e-21
Gemma2RMSNorm-5-88,0.09702904163352608,7.79737503305368e-43
Gemma2RMSNorm-5-9,0.09987750867260309,2.706001879261276e-45
Gemma2RMSNorm-5-90,0.05612421635096475,2.3176792295035233e-15
Gemma2RMSNorm-5-91,0.10305589219999203,4.008115755190808e-48
Gemma2RMSNorm-5-93,0.09113107717504453,5.712144877678614e-38
Gemma2RMSNorm-5-94,0.10640289773532897,3.360830276758066e-51
Gemma2RMSNorm-5-96,0.06858653409896412,3.454004121418906e-22
Gemma2RMSNorm-5-97,0.11551909536749676,4.3705834367899927e-60
Gemma2RMSNorm-5-99,0.17928016309981543,2.1936753177268702e-143
Linear-2-2,0.03612434081404053,3.445159616286998e-07
Linear-2-30,0.09622519263815722,3.741737920571444e-42
Linear-2-4,0.036472219862073024,2.654922828031396e-07
Linear-6-1,0.07418774025787327,1.075895984916173e-25
Linear-6-10,0.07932889874428131,3.738619826690122e-29
Linear-6-100,0.06090895852516244,7.991713004949426e-18
Linear-6-101,0.09497091803291699,4.211612630482122e-41
Linear-6-103,0.09169081276383494,2.033713840653202e-38
Linear-6-104,0.06573338190932146,1.6587171109730022e-20
Linear-6-105,0.05591088434405251,2.952929535246972e-15
Linear-6-106,0.0845663684669663,6.475734229201798e-33
Linear-6-107,0.13418076487526256,1.321744818570407e-80
Linear-6-108,0.08314915203113554,7.125374141180863e-32
Linear-6-109,0.11023529002502896,7.60845713251862e-55
Linear-6-11,0.10769697664687984,2.0428403396730988e-52
Linear-6-111,0.10995051213665434,1.4343870367446998e-54
Linear-6-112,0.06959588675681329,8.444469997452509e-23
Linear-6-113,0.11405177154593397,1.3211868166778866e-58
Linear-6-114,0.14927968804270703,1.592472663248136e-99
Linear-6-115,0.17672386494182551,2.559843952275427e-139
Linear-6-116,0.0585669552235791,1.3569553154457765e-16
Linear-6-117,0.10167903635668664,6.912216699793942e-47
Linear-6-119,0.0914086071615717,3.4258065112805605e-38
Linear-6-12,0.07682819103305755,1.923261015265657e-27
Linear-6-120,0.060155134507355185,2.0122394859724413e-17
Linear-6-121,0.09052863902204059,1.7236209212422317e-37
Linear-6-122,0.09453407184027277,9.713247339944608e-41
Linear-6-123,0.13887950106004038,2.8654969696995552e-86
Linear-6-124,0.0876078371736756,3.2855475819554445e-35
Linear-6-125,0.11009685841931702,1.0357270120247005e-54
Linear-6-127,0.11266350859075751,3.190615474805184e-57
Linear-6-128,0.08370457309850629,2.7972053269437966e-32
Linear-6-129,0.1225670404749803,1.82099007558225e-67
Linear-6-13,0.11868507307331229,2.4017230500045067e-63
Linear-6-130,0.14603028244224786,2.8194507003797203e-95
Linear-6-131,0.2591978031860193,6.937098697256082e-303
Linear-6-132,0.17698846054109202,9.77513045054302e-140
Linear-6-133,0.17255474249937308,8.09821791700522e-133
Linear-6-135,0.15839751677955738,5.767701000421999e-112
Linear-6-136,0.11382636934911382,2.2216226563315467e-58
Linear-6-137,0.10021633533337736,1.3644962977108761e-45
Linear-6-138,0.13758192971828784,1.100125649027685e-84
Linear-6-139,0.1695965995457203,2.6360382123196295e-128
Linear-6-140,0.11162430529587988,3.3712295104667475e-56
Linear-6-141,0.15362455204280992,2.342266493065053e-105
Linear-6-143,0.15775078135500561,4.665110837288437e-111
Linear-6-144,0.11262101887250499,3.515024805460788e-57
Linear-6-145,0.09932816579723876,8.170937086214737e-45
Linear-6-146,0.14344297063080108,5.7973871504329534e-92
Linear-6-147,0.19004677524314417,3.3695613755922938e-161
Linear-6-148,0.14184254001658797,6.051235524696701e-90
Linear-6-149,0.17088219534750027,2.9508258160957585e-130
Linear-6-15,0.11215030886182309,1.0250155057343711e-56
Linear-6-151,0.17961882978637575,6.276250434259028e-144
Linear-6-152,0.12948612479557067,3.7977749049792723e-75
Linear-6-153,0.09723320468354553,5.224503827431474e-43
Linear-6-154,0.10441829922639993,2.3049792898463118e-49
Linear-6-155,0.1280804222626466,1.4963088117154833e-73
Linear-6-156,0.10315857381213506,3.236221582868096e-48
Linear-6-157,0.16873082603226722,5.32202671627181e-127
Linear-6-159,0.17074388410210398,4.792814552501225e-130
Linear-6-16,0.07339504069646971,3.504335230707172e-25
Linear-6-160,0.11311962106196169,1.1257006284167708e-57
Linear-6-161,0.11097330756654888,1.45979099753481e-55
Linear-6-162,0.12931733580070034,5.916335307885608e-75
Linear-6-163,0.19437753456181855,1.1177396216383132e-168
Linear-6-164,0.09484681215561767,5.342228747015003e-41
Linear-6-165,0.14968856479645906,4.577601947097035e-100
Linear-6-167,0.16690019610719994,2.9006638536305064e-124
Linear-6-168,0.10686300391522453,1.2466214973991554e-51
Linear-6-169,0.09985060530064585,2.856899780970827e-45
Linear-6-17,0.07948803885725762,2.8970560542597397e-29
Linear-6-170,0.11608929913123646,1.1482562304263654e-60
Linear-6-171,0.17890661846101716,8.696604347966487e-143
Linear-6-172,0.1420813087980438,3.035124788925428e-90
Linear-6-173,0.16541809745919892,4.517484025067607e-122
Linear-6-175,0.19199978971935094,1.5035449700308954e-164
Linear-6-176,0.1294745414183279,3.91516136501526e-75
Linear-6-177,0.09031407452436396,2.5497608309438448e-37
Linear-6-178,0.11209010136884434,1.1750039841887638e-56
Linear-6-179,0.1429006978811564,2.8172615872307114e-91
Linear-6-18,0.08261801224813532,1.7322467006091324e-31
Linear-6-180,0.0780069350197767,3.0491888251615483e-28
Linear-6-181,0.1744611050761237,9.047690047501262e-136
Linear-6-183,0.18894630868839113,2.5077293438862986e-159
Linear-6-184,0.1322480000406779,2.469346784696717e-78
Linear-6-185,0.08567263465498354,9.683832776453562e-34
Linear-6-186,0.10085076409496625,3.762340176626026e-46
Linear-6-187,0.14996107262919925,1.9903391387705675e-100
Linear-6-188,0.06448647850360725,8.559822362349743e-20
Linear-6-189,0.1617650732214284,9.350497723567454e-117
Linear-6-19,0.09748312678006071,3.1964121674567134e-43
Linear-6-191,0.1988040352793633,1.6452645794029837e-176
Linear-6-192,0.10693878210429156,1.0583193769108165e-51
Linear-6-193,0.08475957286690826,4.655197597610541e-33
Linear-6-194,0.0968516958455083,1.1033415909649172e-42
Linear-6-195,0.15590936855999743,1.7079193411697875e-108
Linear-6-196,0.09574168085487825,9.550271429988548e-42
Linear-6-197,0.16530329909974825,6.665815802834298e-122
Linear-6-199,0.1779759114325996,2.654447944565534e-141
Linear-6-2,0.08217028604809702,3.646728633689765e-31
Linear-6-20,0.06759098608605485,1.358458486770191e-21
Linear-6-200,0.08891485614273804,3.202890144590523e-36
Linear-6-201,0.10099683993890614,2.7933516666262486e-46
Linear-6-202,0.1081577483710961,7.474563757374293e-53
Linear-6-203,0.18371919066536607,1.3520731178322117e-150
Linear-6-204,0.16074233592615456,2.734007259649617e-115
Linear-6-205,0.16702365290592647,1.9008332226487234e-124
Linear-6-207,0.1691670340810361,1.173245290855944e-127
Linear-6-208,0.08205470484484449,4.416488620794652e-31
Linear-6-21,0.0762404361457029,4.7680113288251145e-27
Linear-6-23,0.09836884208927259,5.546167679754892e-44
Linear-6-24,0.06140950260174154,4.301677092776555e-18
Linear-6-25,0.08668146550897857,1.6754256471933477e-34
Linear-6-26,0.07946864933764292,2.9885668879249714e-29
Linear-6-27,0.09334184247126372,9.3164892524062e-40
Linear-6-28,0.10240216617243329,1.5567122426054587e-47
Linear-6-29,0.09264783106890567,3.428040455007834e-39
Linear-6-3,0.085368266370689,1.6374490908817243e-33
Linear-6-31,0.10646046633916212,2.9693333922772807e-51
Linear-6-32,0.0506096829384906,9.098156295514447e-13
Linear-6-33,0.07427274908688263,9.472161286521658e-26
Linear-6-34,0.0698137651087517,6.213832119155708e-23
Linear-6-35,0.10315422020137424,3.265721272109432e-48
Linear-6-36,0.10270108830108382,8.379750506982915e-48
Linear-6-37,0.12462439235759047,1.0511192626538764e-69
Linear-6-39,0.11310122143445532,1.1741156586965147e-57
Linear-6-4,0.08260765440399961,1.762417369272524e-31
Linear-6-40,0.07902698671514888,6.05647979915736e-29
Linear-6-41,0.08760246989035625,3.3168722716830587e-35
Linear-6-42,0.10737157201415548,4.144412108553367e-52
Linear-6-43,0.12387408864544154,6.958238186626611e-69
Linear-6-44,0.07362877285910044,2.477205013469178e-25
Linear-6-45,0.10915665198578416,8.326809974699128e-54
Linear-6-47,0.11664138246558989,3.127575286847314e-61
Linear-6-48,0.07341330281449393,3.410771148177916e-25
Linear-6-49,0.09101924888120788,7.01576525567633e-38
Linear-6-5,0.1031758522784727,3.121736300113983e-48
Linear-6-50,0.09445156982052631,1.1368808828992149e-40
Linear-6-51,0.09544440505722472,1.6950752564620178e-41
Linear-6-52,0.05973589708692508,3.3465395950538504e-17
Linear-6-53,0.10265397653484402,9.240086688641501e-48
Linear-6-55,0.10542771511423116,2.7108086482202604e-50
Linear-6-56,0.0787478008675137,9.446039424657589e-29
Linear-6-57,0.090664387251124,1.3447520522767041e-37
Linear-6-58,0.08634977749509154,2.989643880226234e-34
Linear-6-59,0.1323210479323802,2.0293255452106144e-78
Linear-6-60,0.14710587919878584,1.1343639181845047e-96
Linear-6-61,0.15420613770192643,3.7642663280233323e-106
Linear-6-63,0.15574891428183718,2.8468177800304837e-108
Linear-6-64,0.10453210864376489,1.812648073585919e-49
Linear-6-65,0.12584271391608357,4.763834092144666e-71
Linear-6-66,0.1371186838033004,4.01152829066356e-84
Linear-6-67,0.17575954214407338,8.439868478376557e-138
Linear-6-68,0.05165144742670726,3.082522922211799e-13
Linear-6-69,0.14192562485869414,4.760224260595199e-90
Linear-6-7,0.11301762181929156,1.4215594758071714e-57
Linear-6-71,0.13885660127134736,3.0569775819083665e-86
Linear-6-72,0.07397491903754128,1.4790808525645938e-25
Linear-6-73,0.11153432937585958,4.130345038365244e-56
Linear-6-74,0.13503221428745263,1.2874214792925927e-81
Linear-6-75,0.14136389748929223,2.404325635440277e-89
Linear-6-76,0.05910173961341695,7.176029652596615e-17
Linear-6-77,0.11600864502737702,1.3877984162808746e-60
Linear-6-79,0.11036883718147379,5.648225425701534e-55
Linear-6-8,0.06367556408308596,2.4475912542009314e-19
Linear-6-80,0.04897292151377742,4.772140768647456e-12
Linear-6-81,0.10208032208212808,3.0263869677874147e-47
Linear-6-82,0.1259793531389772,3.360624751760991e-71
Linear-6-83,0.09050084906585658,1.8133854796198948e-37
Linear-6-84,0.06700363792005477,3.0191645166660396e-21
Linear-6-85,0.10282440313827688,6.486916249078139e-48
Linear-6-87,0.09905299655321083,1.4179915770063653e-44
Linear-6-88,0.059317161500213114,5.542875380359831e-17
Linear-6-89,0.1024754257469481,1.337707069401024e-47
Linear-6-9,0.07496225124385597,3.35285974860903e-26
Linear-6-90,0.11155635447133737,3.9300958003338e-56
Linear-6-91,0.12420243617297584,3.047233188811458e-69
Linear-6-92,0.06221582749839416,1.5694744020908944e-18
Linear-6-93,0.11225892358147561,8.010411049467132e-57
Linear-6-95,0.10787375690483701,1.3897382833692964e-52
Linear-6-96,0.0654470800635584,2.4244000909059703e-20
Linear-6-97,0.12465152898998477,9.814513282835527e-70
Linear-6-98,0.14602094261340648,2.8989105577771702e-95
Linear-6-99,0.12202316197005617,7.010312135271569e-67
PytorchGELUTanh-6-102,0.09299890770900862,1.775665899294798e-39
PytorchGELUTanh-6-110,0.10077601571311338,4.380921743860161e-46
PytorchGELUTanh-6-118,0.10377885515936584,8.847933114603215e-49
PytorchGELUTanh-6-126,0.11784069963954735,1.8145737960465972e-62
PytorchGELUTanh-6-134,0.17516928628207318,7.099413477530599e-137
PytorchGELUTanh-6-14,0.09754186017296375,2.847320112065176e-43
PytorchGELUTanh-6-142,0.14458643866242996,2.0257958138986112e-93
PytorchGELUTanh-6-150,0.16208677319534748,3.218846692729268e-117
PytorchGELUTanh-6-158,0.1569440858229154,6.249081366308247e-110
PytorchGELUTanh-6-166,0.13337107902666237,1.193561749479488e-79
PytorchGELUTanh-6-174,0.15573671108325793,2.9595501530004743e-108
PytorchGELUTanh-6-182,0.16357642663867733,2.2414172554086364e-119
PytorchGELUTanh-6-190,0.14394699789137666,1.3263036188275734e-92
PytorchGELUTanh-6-198,0.15315067418800607,1.0333282498287638e-104
PytorchGELUTanh-6-206,0.15878511506516702,1.6407572890385391e-112
PytorchGELUTanh-6-22,0.06463944169300491,7.010674029594421e-20
PytorchGELUTanh-6-30,0.07330513993283291,4.003329227241315e-25
PytorchGELUTanh-6-38,0.11939965003127004,4.288158414461865e-64
PytorchGELUTanh-6-46,0.09941229643336345,6.90149116368345e-45
PytorchGELUTanh-6-54,0.09594699218260601,6.419040554069386e-42
PytorchGELUTanh-6-6,0.09214818157860645,8.70474339469214e-39
PytorchGELUTanh-6-62,0.12679821267964086,4.118569835215759e-72
PytorchGELUTanh-6-70,0.12321746958117206,3.6031825467718785e-68
PytorchGELUTanh-6-78,0.10607976061469736,6.726871357171467e-51
PytorchGELUTanh-6-86,0.1009574195109394,3.0272359138020155e-46
PytorchGELUTanh-6-94,0.10919854783451828,7.59117723898928e-54
